#,Country,Cases,Deaths,Recovery
1,United States,1411488,83953,240066
2,Russia,242271,2212,48003
3,United Kingdom,229705,33186,NA
4,Spain,228691,27104,140823
5,Italy,222104,31106,112541
6,Brazil,180737,12635,72597
7,Germany,173824,7792,144451
8,Turkey,143114,3952,101715
9,France,140734,27074,58673
10,Iran,112725,6783,89428
11,China,82926,4633,78189
12,India,74281,2415,24386
13,Peru,72059,2057,23324
14,Canada,72196,5301,34916
15,Belgium,53981,8843,13937
16,Netherlands,43211,5562,NA
17,Saudi Arabia,44830,273,17622
18,Mexico,38324,3926,17781
19,Pakistan,34336,737,8812
20,Chile,34381,347,14865
21,Ecuador,30419,2327,3433
22,Switzerland,30413,1564,26900
23,Portugal,28132,1175,3182
24,Sweden,27909,3460,4971
25,Qatar,26539,14,3143
26,Belarus,25825,146,7711
27,Singapore,25346,21,4809
28,Ireland,23401,1497,19470
29,United Arab Emirates,20386,206,6523
30,Bangladesh,17822,269,3361
31,Poland,17204,861,6410
32,Israel,16539,262,12173
33,Ukraine,16425,439,3716
34,Japan,16049,678,8920
35,Romania,16002,1016,7961
36,Austria,15964,624,14304
37,Indonesia,15438,1028,3287
38,Colombia,12272,493,2971
39,Philippines,11618,772,2251
40,South Africa,11350,206,4357
41,Dominican Republic,11196,409,3339
42,Kuwait,11028,82,3263
43,South Korea,10962,259,9695
44,Denmark,10667,533,8663
45,Egypt,10431,556,2980
46,Serbia,10295,222,3824
47,Panama,8783,252,6021
48,Czech Republic,8240,288,5043
49,Norway,8158,229,7114
50,Australia,6980,98,6271
51,Malaysia,6779,111,5281
52,Argentina,6550,319,1849
53,Morocco,64512,188,3131
54,Algeria,6253,522,3058
55,Finland,6054,284,4300
56,Bahrain,5780,9,22195
57,Kazakhstan,5417,32,2408
58,Moldova,5406,185,2176
59,Afghanistan,5226,132,648
60,Ghana,5127,22,494
61,Nigeria,4787,158,959
62,Oman,4019,17,1289
63,Luxembourg,3904,103,3629
64,Armenia,3718,48,1500
65,Hungary,3341,430,1102
66,Iraq,3032,115,1966
67,Thailand,3017,56,2844
68,Bolivia,2964,128,313
69,Cameroon,2800,136,1545
70,Greece,2760,156,1374
71,Azerbaijan,2758,35,1789
72,Uzbekistan,2568,10,2046
73,Guinea,2374,14,856
74,Puerto Rico,2329,114,746
75,Croatia,2213,94,1834
76,Bosnia & Herzegovina,2181,120,1228
77,Senegal,2105,21,782
78,Honduras,2080,121,211
79,Bulgaria,2069,96,499
80,Ivory Coast,1857,21,820
81,Cuba,1810,79,1326
82,Iceland,1802,10,1780
83,Estonia,1751,61,777
84,North Macedonia,1694,95,1229
85,Sudan,1661,80,173
86,Lithuania,1505,54,908
87,Slovakia,1469,27,1060
88,Slovenia,1463,103,260
89,Djibouti,1286,3,900
90,Somalia,1219,52,130
91,Guatemala,1199,27,120
92,DR Congo,1169,50,148
93,New Zealand,1147,21,1412
95,Charles de Gaulle,1081,0,0
96,Hong Kong,1051,4,1008
97,Kyrgyzstan,1044,12,726
98,El Salvador,1037,20,374
99,Tunisia,1032,45,740
100,Latvia,951,19,464
101,Kosovo,919,29,671
102,Maldives,904,3,29
103,Cyprus,903,16,449
104,Sri Lanka,893,9,382
105,Albania,880,31,688
106,Lebanon,878,26,236
107,Gabon,863,9,137
108,Niger,854,47,648
109,Guinea-Bissau,836,3,26
110,Costa Rica,804,7,520
111,Burkina Faso,766,51,588
112,Andorra,758,48,568
113,Paraguay,737,10,173
114,Mali,730,40,398
115,Tajikistan,729,21,0
116,Kenya,737,40,281
117,Diamond Princess,712,14,651
118,Uruguay,711,19,523
119,Georgia,647,11,372
120,San Marino,638,41,161
121,Jordan,576,9,390
122,Tanzania,509,21,183
123,Malta,508,6,436
124,Jamaica,507,9,100
125,Zambia,446,7,124
126,Taiwan,440,7,372
127,Equatorial Guinea,439,4,13
128,Venezuela,423,10,220
129,Palestine,375,4,382
130,Sierra Leone,387,21,97
131,Chad,357,40,76
132,Congo,333,11,53
133,Mauritius,332,10,322
134,Isle of Man,331,23,272
135,Benin,327,2,76
136,Montenegro,324,9,298
137,Jersey,295,26,226
138,Vietnam,288,0,252
139,Rwanda,286,0,153
140,Luhansk PR,275,2,12
141,Cape Verde,267,2,58
142,Ethiopia,263,5,108
143,Guernsey,252,13,229
144,São Tomé & Príncipe,220,6,4
145,Haiti,219,18,17
146,Nepal,219,0,33
147,Liberia,212,20,86
148,Donetsk PR,208,5,27
149,Togo,199,11,92
150,South Sudan,194,0,2
151,Madagascar,192,0,105
152,Faroe Islands,187,0,187
153,Eswatini,184,2,28
154,Myanmar,181,6,79
155,Guam,152,5,128
156,Costa Atlantica,148,0,0
157,Gibraltar,148,0,144
158,Central African Republic,143,0,10
159,Brunei,141,1,134
160,Greg Mortimer,128,0,NA
161,Uganda,126,0,55
162,Cambodia,122,0,121
163,Bermuda,121,8,66
164,Trinidad & Tobago,116,8,107
165,Guyana,113,10,39
166,Northern Cyprus,108,4,104
167,Mozambique,104,0,34
168,Aruba,101,3,91
169,Monaco,96,4,87
170,Bahamas,93,11,39
171,Cayman Islands,85,1,50
172,Barbados,84,7,57
173,Liechtenstein,82,1,55
174,Sint Maarten,77,15,54
175,U.S. Virgin Islands,69,6,60
176,Yemen,65,10,1
177,Libya,64,3,28
178,French Polynesia,60,0,58
179,Malawi,63,3,24
180,Somaliland,48,0,15
181,Syria,47,3,29
182,Angola,45,2,14
183,Macau,45,0,42
184,Mongolia,42,0,13
185,Eritrea,39,0,37
186,Zimbabwe,37,4,12
187,Nicaragua,25,8,7
188,Antigua & Barbuda,24,3,11
189,East Timor,24,0,21
190,Botswana,24,1,17
191,South Ossetia,23,0,0
192,The Gambia,23,1,10
193,Grenada,21,0,13
194,Laos,19,0,14
195,Northern Mariana Islands ,19,2,12
196,Belize,18,2,16
197,Fiji,18,0,14
198,New Caledonia,18,0,18
199,Saint Lucia,18,0,17
200,Saint Vincent,17,0,9
201,Curaçao,16,1,14
202,Dominica,16,0,15
203,Namibia,16,0,11
204,Burundi,15,1,7
205,Saint Kitts & Nevis,15,0,14
206,Artsakh,14,0,8
207,Abkhazia,13,1,2
208,Falkland Islands,13,0,13
210,Coral Princess,12,2,NA
211,Turks & Caicos Islands,12,1,10
212,Vatican City,12,0,2
213,Bhutan,11,0,5
214,Comoros,11,1,0
215,Greenland,11,0,11
216,Montserrat,11,1,8
217,Seychelles,11,0,7
218,Suriname,10,1,9
219,Mauritania,9,1,6
221,Papua New Guinea,8,0,8
222,British Virgin Islands,7,1,3
223,Anguilla,3,0,3
224,Bonaire,2,0,2
225,Saba,2,0,2
226,Sint Eustatius,2,0,2
